ta_check,description
Amazon EC2 Auto Scaling Group does not have ELB Health Check Enabled,"Description: Checks if your Amazon EC2 Auto Scaling groups that are associated with a Classic Load Balancer are using Elastic Load Balancing (ELB) health checks.

The default health checks for an Auto Scaling group are EC2 status checks only. If an instance fails these status checks, it is marked unhealthy and is terminated. Amazon EC2 Auto Scaling launches a new replacement instance. The Elastic Load Balancer health check periodically monitors EC2 instances to detect and terminate unhealthy instances and then launch new instances.

For more information, see  Elastic Load Balancing health checks.

Source
AWS Config Managed Rule: autoscaling-group-elb-healthcheck-required

Alert Criteria
Yellow: Amazon EC2 Auto Scaling Group attached to Classic Load Balancer has not enabled ELB Health Check

Recommended Action
Ensure that your Auto Scaling groups that are associated with a Classic Load Balancer use ELB health checks.

ELB health checks report if the load balancer is healthy and available to handle requests. This ensures high availability for your application.

For more information, see Add Elastic Load Balancing health checks to an Auto Scaling group.
"
Network Load Balancers Cross Load Balancing,"Description: Checks if cross-zone load balancing is enabled on Network Load Balancers (NLBs) 

Cross-zone load balancing ensures even distribution of incoming traffic across instances in different Availability Zones. This prevents the load balancer from routing all traffic to instances in the same availability zone, which can cause uneven traffic distribution and potential overloading. The feature also application reliability by automatically routing traffic to healthy instances in other availability zones in the event of a single availability zone failure.

For more information, see Cross-zone load balancing.

Source
AWS Config Managed Rule: nlb-cross-zone-load-balancing-enabled

Alert Criteria
Yellow: Network Load Balancers (NLB) does not have cross-zone load balancing enabled.

Recommended Action
Ensure that cross-zone load balancing is enabled on Network Load Balancers (NLBs)
"
AWS CloudHSM clusters running HSM instances in a single AZ,"Description: Checks your clusters that run HSM instances in a single Availability Zone (AZ). This check alerts you if your clusters are at risk of not having the most recent backup.

Alert Criteria
Yellow: A CloudHSM cluster is running all HSM instances in a single Availability Zone for more than 1 hour.
Green: A CloudHSM cluster is running all HSM instances in at least two different Availability Zones.

Recommended Action
Create at least one more instance for the cluster in a different Availability Zone.

Additional Information
Best practices for AWS CloudHSM"
Amazon EC2 Auto Scaling Group is not Associated with a Launch Template,"Description: Checks if an Amazon EC2 Auto Scaling group is created from an EC2 launch template.

Use a launch template to create your EC2 Auto Scaling groups to ensure access to the latest Auto Scaling group features and improvements. For example, versioning and multiple instance types.

For more information, see Launch templates

Source
AWS Config Managed Rule: autoscaling-launch-template

Alert Criteria
Yellow: The Amazon EC2 Auto Scaling group isn’t associated with a valid launch template.

Recommended Action
Use an EC2 launch template to create your Amazon EC2 Auto Scaling groups.

For more information, see  Create a launch template for an Auto Scaling group.

Additional Resources
Launch templates
How to create Launch templates"
Amazon EC2 Auto Scaling Group has Capacity Rebalancing Enabled,"Description: Checks if Capacity Rebalancing is enabled for Amazon EC2 Auto Scaling groups that use multiple instance types. 

Configuring EC2 Auto Scaling group with capacity rebalancing helps ensure that EC2 instances are evenly distributed across the Availability Zones, regardless of instance types and purchasing options. It uses a target tracking policy associated with the group, such as CPU utilization or network traffic.

For more information, see Auto Scaling groups with multiple instance types and purchase options

Source
AWS Config Managed Rule: autoscaling-capacity-rebalancing

Alert Criteria
Yellow: Amazon EC2 Auto Scaling Group capacity rebalancing is not enabled

Recommended Action
Ensure that capacity rebalancing is enabled for your Amazon EC2 Auto Scaling groups that use multiple instance types. 

Configuring your EC2 Auto Scaling group with capacity rebalancing helps ensure that the capacity of your EC2 instances are evenly distributed across the Availability Zones, regardless of your instance types and purchasing options. It uses a target tracking policy associated with the group, such as CPU utilization or network traffic.

For more information, see Enable Capacity Rebalancing (console).

Additional Resources
Enable Capacity rebalancing
Auto Scaling groups with multiple instance types and purchase options"
MFA on Root Account,"Description: Checks the root account and warns if multi-factor authentication (MFA) is not enabled. For increased security, we recommend that you protect your account by using MFA, which requires a user to enter a unique authentication code from their MFA hardware or virtual device when interacting with the AWS console and associated websites.
Note
For your AWS Organization management account, AWS requires multi-factor authentication (MFA) for the root user when accessing the AWS Console.
For your AWS Organizations member accounts, AWS recommends the use of MFA. Also, you can use an AWS Organizations Service Control Policy (SCP) to effectively block all root actions. For more information, please see Best practices for member accounts in AWS Organizations User Guide.

Alert Criteria
Red: MFA is not enabled on the root account.

Recommended Action
Log in to your root account and activate an MFA device. See Checking MFA Status and Setting Up an MFA Device.
You can enable MFA on your account at any time by visiting the ""Security Credentials"" page, which is available in the top right account menu drop-down in the AWS Management Console. We support multiple industry standard forms of MFA, such as FIDO2 and virtual authenticators, to give you flexibility to choose a MFA device that meets your needs. We also recommend that you register more than one MFA device for resiliency, in the event one of your MFA devices is lost or stops working.

Additional Resources
Please refer to General steps for enabling MFA devices and Enable a virtual MFA device for your AWS account root user (console) in our AWS IAM User Guide for additional information."
RDS cluster snapshots and database snapshots should be encrypted at rest,"Description: Checks if Amazon RDS cluster snapshots and database snapshots are encrypted.

Source
AWS Security Hub
Security Hub control ID: RDS.4

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
"RDS DB Instances should prohibit public access, determined by the PubliclyAccessible configuration","Description: Checks if RDS instances are publicly accessible by evaluating the publiclyAccessible field in the instance configuration item.

Source
AWS Security Hub
Security Hub control ID: RDS.2

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
RDS DB instances should have encryption at-rest enabled,"Description: Checks if storage encryption is enabled for your RDS DB instances.

Source
AWS Security Hub
Security Hub control ID: RDS.3

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
RDS snapshot should be private,"Description: Checks if Amazon Relational Database Service (Amazon RDS) snapshots are public.

Source
AWS Security Hub
Security Hub control ID: RDS.1

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon Route 53 Alias Resource Record Sets,"Description: Checks for resource record sets that can be changed to alias resource record sets to improve performance and save money. An alias resource record set routes DNS queries to an AWS resource (for example, an Elastic Load Balancing load balancer or an Amazon S3 bucket) or to another Route 53 resource record set. When you use alias resource record sets, Route 53 routes your DNS queries to AWS resources free of charge. Hosted zones created by AWS services won’t appear in your check results.

Alert Criteria
Yellow: A resource record set is a CNAME to an Amazon S3 website.
Yellow: A resource record set is a CNAME to an Amazon CloudFront distribution.
Yellow: A resource record set is a CNAME to an Elastic Load Balancing load balancer.

Recommended Action
Replace the listed CNAME resource record sets with alias resource record sets; see Choosing Between Alias and Non-Alias Resource Record Sets. You also need to change the record type from CNAME to A or AAAA, depending on the AWS resource; see Values that You Specify When You Create or Edit Amazon Route 53 Resource Record Sets.

Additional Resources
Routing Queries to AWS Resources"
AWS Config should be enabled,"Description: Checks if the Config service is enabled in the account for the local region and is recording all resources.

Source
AWS Security Hub
Security Hub control ID: Config.1

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon Route53 Resolver Endpoint Availability Zone Redundancy,"Description: Checks to see if your service configuration has IP addresses specified in at least two Availability Zones (AZs) for redundancy. An AZ is a distinct location that is insulated from failures in other zones. By specifying IP addresses in multiple AZs in the same Region, you can help protect your applications from a single point of failure.

Alert Criteria
Yellow: IP addresses are specified only in one AZ.
Green: IP addresses are specified in at least two AZs.

Recommended Action
Specify IP addresses in at least two Availability Zones for redundancy.

Additional Resources
If you require more than one elastic network interface endpoint to be available at all times, we recommend that you create at least one more network interface than you need, to make sure you have additional capacity available for handling possible traffic surges. The additional network interface also ensures availability during service operations like maintenance or upgrades.
High availability for Resolver endpoints"
Amazon Elasticsearch Service domains should have encryption at-rest enabled,"Description: Checks whether Amazon Elasticsearch Service domains have encryption at rest configuration enabled. This check fails if the EncryptionAtRestOptions field is not enabled.

Source
AWS Security Hub
Security Hub control ID: ES.1

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
RDS DB instances should have deletion protection enabled,"Description: Checks if RDS DB instances have deletion protection enabled.

Source
AWS Security Hub
Security Hub control ID: RDS.8

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Security Groups - Unrestricted Access,"Description: Checks security groups for rules that allow unrestricted access to a resource. Unrestricted access increases opportunities for malicious activity (hacking, denial-of-service attacks, loss of data).

Note: This check only evaluates security groups that you create and their inbound rules for IPv4 addresses. Security groups created by AWS Directory Services are flagged as red or yellow, but they don’t pose a security risk and can be safely ignored or excluded. For more information, see the Trusted Advisor FAQ.

Note: This check does not include the use case when a customer managed prefix list grants access to 0.0.0.0/0 and is used as a source with a security group.

Alert Criteria
Red: A security group rule has a source IP address with a /0 suffix for ports other than 25, 80, or 443.

Recommended Action
Restrict access to only those IP addresses that require it. To restrict access to a specific IP address, set the suffix to /32 (for example, 192.0.2.10/32). Be sure to delete overly permissive rules after creating rules that are more restrictive.

Additional Resources
Amazon EC2 Security Groups
Classless Inter-Domain Routing (Wikipedia)"
RDS clusters should have deletion protection enabled,"Description: Checks if RDS clusters have deletion protection enabled.

Source
AWS Security Hub
Security Hub control ID: RDS.7

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon RDS Security Group Access Risk,"Description: Checks security group configurations for Amazon Relational Database Service (Amazon RDS) and warns when a security group rule might grant overly permissive access to your database. Recommended configuration for any security group rule is to allow access from specific Amazon Elastic Compute Cloud (Amazon EC2) security groups or from a specific IP address.

Alert Criteria
Yellow: A DB security group rule references an Amazon EC2 security group that grants global access on one of these ports: 20, 21, 22, 1433, 1434, 3306, 3389, 4333, 5432, 5500.
Yellow: A DB security group rule grants access to more than a single IP address (the CIDR rule suffix is not /0 or /32).
Red: A DB security group rule grants global access (the CIDR rule suffix is /0).

Recommended Action
Review your security group rules and restrict access to authorized IP addresses or IP ranges. To edit a security group, use the AuthorizeDBSecurityGroupIngress API or the AWS Management Console. For more information, see Working with DB Security Groups.

Additional Resources
Amazon RDS Security Groups
Classless Inter-Domain Routing
List of TCP and UDP port numbers"
GuardDuty should be enabled,"Description: Checks if Amazon GuardDuty is enabled in your AWS account and region.

Source
AWS Security Hub
Security Hub control ID: GuardDuty.1

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Enhanced monitoring should be configured for RDS DB instances,"Description: Checks if enhanced monitoring is enabled for your RDS DB instances.

Source
AWS Security Hub
Security Hub control ID: RDS.6

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon EC2 Reserved Instance Lease Expiration,"Description: Checks for Amazon EC2 Reserved Instances that are scheduled to expire within the next 30 days or have expired in the preceding 30 days. Reserved Instances do not renew automatically; you can continue using an EC2 instance covered by the reservation without interruption, but you will be charged On-Demand rates. New Reserved Instances can have the same parameters as the expired ones, or you can purchase Reserved Instances with different parameters.
The estimated monthly savings we show is the difference between the On-Demand and Reserved Instance rates for the same instance type.

Alert Criteria
Yellow: The Reserved Instance lease expires in less than 30 days.
Yellow: The Reserved Instance lease expired in the preceding 30 days.

Recommended Action
Consider purchasing a new Reserved Instance to replace the one that is nearing the end of its term. For more information, see How to Purchase Reserved Instances and Buying Reserved Instances.

 Additional Resources
Reserved Instances
Instance Types"
Amazon Route 53 High TTL Resource Record Sets,"Description: Checks for resource record sets that can benefit from having a lower time-to-live (TTL) value. TTL is the number of seconds that a resource record set is cached by DNS resolvers. When you specify a long TTL, DNS resolvers take longer to request updated DNS records, which can cause unnecessary delay in rerouting traffic (for example, when DNS Failover detects and responds to a failure of one of your endpoints). This check only looks at records with a policy of Failover, or if there is an associated health check. Hosted zones created by AWS services won’t appear in your check results.

Alert Criteria
Yellow: A resource record set whose routing policy is Failover has a TTL greater than 60 seconds.

Recommended Action
Enter a TTL value of 60 seconds for the listed resource record sets. For more information, see Working with Resource Record Sets.

Additional Resources
Amazon Route&nbsp;53 Health Checks and DNS Failover"
DynamoDB Read Capacity,"Description: Checks for usage that is more than 80% of the DynamoDB Provisioned Throughput Limit for Reads per Account. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
DynamoDB Limits"
NAT Gateway AZ Independence,"Description: Checks if your NAT Gateways are configured with Availability Zone (AZ) independence.
A NAT Gateway enables resources in your private subnet to securely connect to services outside the subnet using the NAT
Gateway’s IP addresses and drops any unsolicited inbound traffic. Each NAT Gateway operates within a designated
Availability Zone (AZ) and is built with redundancy in that AZ only. Therefore, your resources in a particular AZ should use a
NAT Gateway in the same AZ so that any potential outage of a NAT Gateway or its AZ does not impact your resources in
another AZ.

Alert Criteria
Red: Traffic from your subnet in one AZ is being routed through a NATGW in a different AZ
Green: Traffic from your subnet in one AZ is being routed through a NATGW in the same AZ

Recommended Action
Please check the AZ of your subnet and route traffic through a NAT Gateway in the same AZ.
If there is no NATGW in the AZ, please create one and then route your subnet traffic through it.
If you have the same route table associated across subnets in different AZs, keep this route table associated to the subnets
that reside in the same AZ as the NAT Gateway and for subnets in the other AZ, please associate a separate route table
with a route to a NAT Gateway in this other AZ.
We recommend choosing a maintenance window for architecture changes in your Amazon VPC.

Additional Resources

Please refer to the AWS Public documentation on:How to create a NAT GatewayHow to configure routes for different NAT Gateway use cases Hub conceptsReach out to AWS Support for additional help"
Database logging should be enabled,"Description: Checks if the following Amazon RDS logs are enabled and sent to CloudWatch Logs: Oracle: (Alert, Audit, Trace, Listener), PostgreSQL: (Postgresql, Upgrade), MySQL: (Audit, Error, General, SlowQuery), MariaDB: (Audit, Error, General, SlowQuery), SQL Server: (Error, Agent), Aurora: (Audit, Error, General, SlowQuery), Aurora-MySQL: (Audit, Error, General, SlowQuery), Aurora-PostgreSQL: (Postgresql).

Source
AWS Security Hub
Security Hub control ID: RDS.9

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Single AZ Application Check,"Description: Checks through network patterns if your egress network traffic is routing through a single Availability Zone (AZ).

An AZ is a distinct location that is insulated from any impact in other zones. By spreading your service across multiple AZs, you limit the blast radius of an AZ failure.

Alert Criteria
Yellow: Your application may be deployed in only one AZ based on observed egress network patterns. If this is true
and your application expects high availability, we recommend that you provision your application resources and
implement your network flows to utilize multiple Availability Zones.

Recommended Action
If your application requires high availability, consider implementing a multi-AZ architecture for higher availability."
RDS DB Instances,"Description: Checks for usage that is more than 80% of the RDS DB Instances Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
RDS Limits"
ElastiCache clusters should not use the default subnet group,"Description: Checks if ElastiCache clusters are configured with a custom subnet group. The check fails for an ElastiCache cluster if 'CacheSubnetGroupName' has the value 'default'.

Source
AWS Security Hub
Security Hub Control Id: ElastiCache.7

Alert Criteria
Red: Critical or High Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
S3 Block Public Access setting should be enabled,"Description: Checks if the following public access block settings are configured from account level: ignorePublicAcls: True, blockPublicPolicy: True, blockPublicAcls: True, restrictPublicBuckets: True.

Source
AWS Security Hub
Security Hub control ID: S3.1

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Elastic Beanstalk should stream logs to CloudWatch,"Description: Checks if an AWS Elastic Beanstalk environment is configured to send logs to CloudWatch Logs. The check fails if the Elastic Beanstalk environment is not configured to send logs to CloudWatch Logs.

Source
AWS Security Hub
Security Hub Control Id: ElasticBeanstalk.3

Alert Criteria
Red: Critical or High Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Redshift clusters should be encrypted at rest,"Description: Checks if an Amazon Redshift cluster is encrypted at rest. The check fails if a Redshift cluster isn't encrypted at rest.

Source
AWS Security Hub
Security Hub Control Id: Redshift.10

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
S3 buckets should prohibit public read access,"Description: Checks if your S3 buckets allow public read access by evaluating the Block Public Access settings, the bucket policy, and the bucket access check list (ACL).

Source
AWS Security Hub
Security Hub control ID: S3.2

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
S3 buckets should prohibit public write access,"Description: Checks if your S3 buckets allow public write access by evaluating the Block Public Access settings, the bucket policy, and the bucket access check list (ACL).

Source
AWS Security Hub
Security Hub control ID: S3.3

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Step Functions state machines should have logging turned on,"Description: This controls assesses if an AWS Step Functions state machine has logging turned on. The check fails if a state machine doesn't have logging turned on.

Source
AWS Security Hub
Security Hub Control Id: StepFunctions.1

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon ECS service using a single AZ,"Description: Checks that your service configuration uses a single Availability Zone (AZ).

An AZ is a distinct location that is insulated from failures in other zones. This supports inexpensive, low-latency network connectivity between AZs in the same AWS Region. By launching instances in multiple AZs in the same Region, you can help protect your applications from a single point of failure.

Alert Criteria
Yellow: An Amazon ECS service is running all tasks in a single AZ.
Green: An Amazon ECS service is running tasks in at least two different AZs.

Recommended Action
Create at least one more task for the service in a different AZ.

Additional Resources
Amazon ECS capacity and availability"
S3 Block Public Access setting should be enabled at the bucket-level,"Description: Checks if Amazon S3 buckets have bucket level public access blocks applied. This check fails if any of the bucket level settings are set to ""false"" public: ignorePublicAcls, blockPublicPolicy, blockPublicAcls, restrictPublicBuckets.

Source
AWS Security Hub
Security Hub control ID: S3.8

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Athena workgroups should be encrypted at rest,"Description: Checks if an Athena workgroup is encrypted at rest. The check fails if an Athena workgroup isn’t encrypted at rest.

Source
AWS Security Hub
Security Hub Control Id: Athena.1

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon ECS Multi-AZ placement strategy,"Description: Checks that your Amazon ECS service uses the spread placement strategy based on availability zone. This strategy distributes tasks across Availability Zones (AZs) in the same AWS Region and can help protect your applications from a single point of failure.

For tasks that run as part of an Amazon ECS service, spread is the default task placement strategy.

This check also verifies that spread is the first or only strategy in your list of enabled placement strategies.

Alert Criteria
Yellow: Spread by availability zone is disabled or isn't the first strategy in your list of enabled placement strategies for your Amazon ECS service.
Green: Spread by availability zone is the first strategy in your list of enabled placement strategies or the only placement strategy enabled for your Amazon ECS service.

Recommended Action
 Enable the spread task placement strategy to distribute tasks across multiple AZs. Verify that spread by availability zone is the first strategy for all enabled task placement strategies or the only strategy used. If you choose to manage AZ placement, you can use a mirrored service in another AZ to mitigate these risks.

Additional Resources
Amazon ECS task placement strategies"
Amazon DocumentDB clusters should be encrypted at rest,"Description: Checks if an Amazon DocumentDB cluster is encrypted at rest. The check fails if an Amazon DocumentDB cluster isn't encrypted at rest.

Source
AWS Security Hub
Security Hub Control Id: DocumentDB.1

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
CodeBuild GitHub or Bitbucket source repository URLs should use OAuth,"Description: Checks if the GitHub or Bitbucket source repository URL contains either personal access tokens or user name and password.

Source
AWS Security Hub
Security Hub control ID: CodeBuild.1

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
CodeBuild project environment variables should not contain clear text credentials,"Description: Checks if the project contains environment variables AWS_ACCESS_KEY_ID and AWS_SECRET_ACCESS_KEY.

Source
AWS Security Hub
Security Hub control ID: CodeBuild.2

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Neptune DB clusters should be encrypted at rest,"Description: Checks if a Neptune DB cluster is encrypted at rest. The check fails if a Neptune DB cluster isn't encrypted at rest.

Source
AWS Security Hub
Security Hub Control Id: Neptune.1

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Auto Scaling Group Health Check,"Description: Examines the health check configuration for Auto Scaling groups. If Elastic Load Balancing is being used for an Auto Scaling group, the recommended configuration is to enable an Elastic Load Balancing health check. If an Elastic Load Balancing health check is not used, Auto Scaling can only act upon the health of the Amazon Elastic Compute Cloud (Amazon EC2) instance and not on the application that is running on the instance.

Alert Criteria
Yellow: An Auto Scaling group has an associated load balancer, but the Elastic Load Balancing health check is not enabled.
Yellow: An Auto Scaling group does not have an associated load balancer, but the Elastic Load Balancing health check is enabled.

Recommended Action
If the Auto Scaling group has an associated load balancer, but the Elastic Load Balancing health check is not enabled, see Add an Elastic Load Balancing Health Check to your Auto Scaling Group.
If the Elastic Load Balancing health check is enabled, but no load balancer is associated with the Auto Scaling group, see Set Up an Auto-Scaled and Load-Balanced Application.

Additional Resources
Auto Scaling Developer Guide"
ACM certificates should be renewed after a specified time period,"Description: Checks if ACM Certificates in your account are marked for expiration within a specified time period. Certificates provided by ACM are automatically renewed. ACM does not automatically renew certificates that you import.

Source
AWS Security Hub
Security Hub control ID: ACM.1

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Neptune DB clusters should publish audit logs to CloudWatch Logs,"Description: Checks if a Neptune DB cluster publishes audit logs to Amazon CloudWatch Logs. The check fails if a Neptune DB cluster doesn't publish audit logs to CloudWatch Logs. `EnableCloudWatchLogsExport` should be set to Audit.

Source
AWS Security Hub
Security Hub Control Id: Neptune.2

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
EC2-Classic Elastic IP Addresses,"Description: Checks for usage that is more than 80% of the EC2-Classic Elastic IP Addresses Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
EC2 Limits"
EBS Throughput Optimized HDD (st1) Volume Storage,"Description: Checks for usage that is more than 80% of the EBS Throughput Optimized HDD (st1) Volume Storage Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
EBS Limits"
ELB Classic Load Balancers,"Description: Checks for usage that is more than 80% of the ELB Classic Load Balancers. Application Load Balancers and Network Load Balancers have a separate limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
AWS Service Limits - Elastic Load Balancing default service limits"
An RDS event notifications subscription should be configured for critical cluster events,"Description: Checks if an Amazon RDS Event subscription for RDS clusters is configured to notify on event categories of both ""maintenance"" and ""failure"".

Source
AWS Security Hub
Security Hub control ID: RDS.19

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
ElastiCache replication groups should have encryption-at-rest enabled,"Description: Checks if ElastiCache replication groups have encryption-at-rest enabled. This check fails if encryption-at-rest is not enabled for a ElastiCache replication group.

Source
AWS Security Hub
Security Hub Control Id: ElastiCache.4

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
ElastiCache replication groups should have encryption-in-transit enabled,"Description: Checks if ElastiCache replication groups have encryption-in-transit enabled. This check fails if encryption-in-transit is not enabled for a ElastiCache replication group.

Source
AWS Security Hub
Security Hub Control Id: ElastiCache.5

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
S3 buckets should require requests to use Secure Socket Layer,"Description: Checks if S3 buckets have policies that require requests to use Secure Socket Layer (SSL).

Source
AWS Security Hub
Security Hub control ID: S3.5

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
ElastiCache replication groups of earlier Redis versions should have Redis AUTH enabled,"Description: Checks if ElastiCache replication groups have Redis AUTH enabled. The check fails for an ElastiCache replication group if the Redis version of its nodes is below 6 and 'AuthToken' is not in use.

Source
AWS Security Hub
Security Hub Control Id: ElastiCache.6

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
S3 permissions granted to other AWS accounts in bucket policies should be restricted,"Description: Checks if the S3 bucket policy allows sensitive bucket-level or object-level actions from a principal in another AWS account. The check fails if any of the following actions are allowed in the S3 bucket policy for a principal in another AWS account: s3:DeleteBucketPolicy, s3:PutBucketAcl, s3:PutBucketPolicy, s3:PutObjectAcl, and s3:PutEncryptionConfiguration.

Source
AWS Security Hub
Security Hub control ID: S3.6

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon Elasticsearch Service domain error logging to CloudWatch Logs should be enabled,"Description: Checks whether Amazon Elasticsearch Service domains are configured to send error logs to CloudWatch Logs.

Source
AWS Security Hub
Security Hub control ID: ES.4

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Classic Load Balancers with SSL/HTTPS listeners should use a certificate provided by AWS Certificate Manager,"Description: Checks if a Classic Load Balancer uses HTTPS/SSL certificates provided by AWS Certificate Manager. The check fails if a Classic Load Balancer that is configured with an HTTPS/SSL listener does not use a certificate provided by AWS Certificate Manager.

Source
AWS Security Hub
Security Hub control ID: ELB.2

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
